City,State,Latitude,Longitude
San Francisco, California, 37.7749295, -122.4194155
South San Francisco, California, 37.654656, -122.4077498
San Mateo, California, 37.5629917, -122.3255254
San Leandro, California, 37.7249296, -122.1560768
San Ramon, California, 37.7799273, -121.9780153
Pleasanton, California, 37.6624312, -121.8746789
Brentwood, California, 37.931868, -121.6957863
Tracy, California, 37.7396513, -121.4252227
Stockton, California, 37.9577016, -121.2907796
Davis, California, 38.5449065, -121.7405167
Roseville, California, 38.7521235, -121.2880059
Folsom, California, 38.6779591, -121.1760583
Yuba City, California, 39.1404477, -121.6169108
Chico, California, 39.7284944, -121.8374777
Napa, California, 38.2975381, -122.286865
Vallejo, California, 38.1040864, -122.2566367
San Jose, California, 37.3382082, -121.8863286
Campbell, California, 37.2871651, -121.9499568
Merced, California, 37.3021632, -120.4829677
Clovis, California, 36.8252277, -119.7029194
Simi Valley, California, 34.2694474, -118.781482
Glendale, California, 34.1425078, -118.255075
Rosemead, California, 34.0805651, -118.072846
El Monte, California, 34.0686206, -118.0275667
Arcadia, California, 34.1397292, -118.0353449
West Covina, California, 34.0686208, -117.9389526
Whittier, California, 33.9791793, -118.032844
La Mirada, California, 33.9172357, -118.0120086
Bell Gardens, California, 33.9652918, -118.1514588
Montebello, California, 34.0165053, -118.1137535
Carson, California, 33.8316745, -118.281693
Redondo Beach, California, 33.8491816, -118.3884078
Rancho Palos Verdes, California, 33.7444613, -118.3870173
Long Beach, California, 33.7700504, -118.1937395
Fountain Valley, California, 33.7091847, -117.9536697
Santa Ana, California, 33.7455731, -117.8678338
Orange, California, 33.7877944, -117.8531119
Yorba Linda, California, 33.8886259, -117.8131125
Chino Hills, California, 33.9898188, -117.7325848
Chino, California, 34.0122346, -117.688944
Ontario, California, 34.0633443, -117.6508876
Rancho Cucamonga, California, 34.1063989, -117.5931084
Fontana, California, 34.0922335, -117.435048
Colton, California, 34.0739016, -117.3136547
Redlands, California, 34.0555693, -117.1825381
Moreno Valley, California, 33.9424658, -117.2296717
Perris, California, 33.7825194, -117.2286478
Menifee, California, 33.6971468, -117.185294
Temecula, California, 33.4936391, -117.1483648
Vista, California, 33.2000368, -117.2425355
Poway, California, 32.9628232, -117.0358646
Santee, California, 32.8383828, -116.9739167
Laguna Niguel, California, 33.5225261, -117.7075526
Aliso Viejo, California, 33.5676842, -117.7256083
Irvine, California, 33.6839473, -117.7946942
Newport Beach, California, 33.6189101, -117.9289469
Apple Valley, California, 34.5008311, -117.1858759
Palm Desert, California, 33.7222445, -116.3744556
Calexico, California, 32.6789476, -115.4988834
Lake Havasu City, Arizona, 34.483901, -114.3224548
Bullhead City, Arizona, 35.1359386, -114.5285981
Prescott Valley, Arizona, 34.6100243, -112.315721
Surprise, Arizona, 33.6292337, -112.3679279
Mesa, Arizona, 33.4151843, -111.8314724
Gilbert, Arizona, 33.3528264, -111.789027
Chandler, Arizona, 33.3061605, -111.8412502
Oro Valley, Arizona, 32.3909071, -110.966488
Tucson, Arizona, 32.2217429, -110.926479
Las Cruces, New Mexico, 32.3199396, -106.7636538
El Paso, Texas, 31.7775757, -106.4424559
Roswell, New Mexico, 33.3942655, -104.5230242
Midland, Texas, 31.9973456, -102.0779146
Abilene, Texas, 32.4487364, -99.7331439
Fort Worth, Texas, 32.7554883, -97.3307658
Bedford, Texas, 32.844017, -97.1430671
Frisco, Texas, 33.1506744, -96.8236116
Allen, Texas, 33.1031744, -96.6705503
Rowlett, Texas, 32.9029017, -96.56388
Longview, Texas, 32.5007037, -94.7404891
Beaumont, Texas, 30.080174, -94.1265562
Friendswood, Texas, 29.5293998, -95.2010447
Pearland, Texas, 29.5635666, -95.2860474
Houston, Texas, 29.7604267, -95.3698028
Round Rock, Texas, 30.5082551, -97.678896
Corpus Christi, Texas, 27.8005828, -97.396381
